spc_latin,latitude,longitude,tree_dbh
Platanus x acerifolia,40.75030992,-74.00080611,24
Platanus x acerifolia,40.75028569,-74.0020789,25
Platanus x acerifolia,40.75037164,-74.00201629,29
Gleditsia triacanthos var. inermis,40.74635494,-73.99691291,21
Ulmus americana,40.74620135,-73.99654868,21
Ulmus americana,40.74630809,-73.99680181,21
Prunus cerasifera,40.751101,-74.00431485,1
Salix babylonica,40.71064673,-73.98593279,21
Platanus x acerifolia,40.71233179,-73.97810537,21
Platanus x acerifolia,40.7122936,-73.97868828,28
Platanus x acerifolia,40.7119875,-73.9782455,28
Quercus palustris,40.71131532,-73.98048886,21
Quercus palustris,40.71145366,-73.98050507,24
Platanus x acerifolia,40.71124247,-73.98051473,30
Platanus x acerifolia,40.71226723,-73.97909079,28
Platanus x acerifolia,40.71191064,-73.98059303,25
Quercus palustris,40.71110153,-73.98046381,22
Quercus palustris,40.71153294,-73.98051436,21
Platanus x acerifolia,40.71138299,-73.9805312,24
Platanus x acerifolia,40.711313,-73.980523,29
Platanus x acerifolia,40.71222791,-73.97969096,24
Platanus x acerifolia,40.71225923,-73.97921298,26
Platanus x acerifolia,40.71405604,-73.98191786,22
Platanus x acerifolia,40.71227853,-73.97891829,27
Platanus x acerifolia,40.71116127,-73.98050521,29
Platanus x acerifolia,40.71161811,-73.98055875,22
Platanus x acerifolia,40.71217964,-73.98042769,22
Platanus x acerifolia,40.71133659,-73.97922784,28
Quercus palustris,40.71102607,-73.98045497,21
Platanus x acerifolia,40.71232402,-73.97822396,22
Platanus x acerifolia,40.71230113,-73.97857328,27
Platanus x acerifolia,40.71192168,-73.97832262,32
Platanus x acerifolia,40.71224322,-73.97945736,27
Platanus x acerifolia,40.71230914,-73.97845109,25
Platanus x acerifolia,40.71220695,-73.98001081,22
Platanus x acerifolia,40.71229046,-73.97833674,29
Acer,40.7150409,-73.97826196,26
Ginkgo biloba,40.72089371,-73.99170169,23
Platanus x acerifolia,40.71812254,-73.99093499,22
Platanus x acerifolia,40.72065028,-73.99178983,21
Ginkgo biloba,40.72017507,-73.9926088,24
Ginkgo biloba,40.72065632,-73.99236211,21
Platanus x acerifolia,40.71817801,-73.99086977,22
Platanus x acerifolia,40.72078502,-73.99172068,21
Platanus x acerifolia,40.72201687,-73.99108846,22
